"total_rewards","action_rewards","opinion_rewards"
22279,9296,12983
22949,9740,13209
23711,10410,13301
24296,11042,13254
21185,8699,12486
24520,11215,13305
24193,11043,13150
23270,10366,12904
24403,11116,13287
22367,9494,12873
23912,10710,13202
23399,10295,13104
23224,10052,13172
23801,10514,13287
23782,10603,13179
23577,10465,13112
23696,10563,13133
24445,11267,13178
23768,10601,13167
24413,11211,13202
23918,10710,13208
22322,9391,12931
22147,9432,12715
23264,10355,12909
23065,9945,13120
22412,9503,12909
23920,10767,13153
23605,10460,13145
23806,10661,13145
23372,10435,12937
23423,10389,13034
22600,9729,12871
25455,12107,13348
23992,10841,13151
24384,11148,13236
22619,9526,13093
23565,10424,13141
23189,10234,12955
23006,10094,12912
23751,10523,13228
23854,10674,13180
23579,10493,13086
23100,10153,12947
22777,9863,12914
23702,10565,13137
23609,10509,13100
23793,10817,12976
22845,9849,12996
22614,9667,12947
23784,10925,12859
24370,11340,13030
23394,10335,13059
24129,11042,13087
23694,10636,13058
23561,10428,13133
24408,11249,13159
24504,11423,13081
22996,10072,12924
24490,11502,12988
24096,11044,13052
23954,10880,13074
23985,10950,13035
23637,10720,12917
22072,9439,12633
23790,10722,13068
24201,11327,12874
24293,11264,13029
23756,10818,12938
23682,10644,13038
22996,10051,12945
23715,10652,13063
24061,11035,13026
24125,11025,13100
23045,10152,12893
22813,10213,12600
23216,10270,12946
21844,9206,12638
22687,10054,12633
23787,10925,12862
24753,11759,12994
24843,11703,13140
24495,11464,13031
23191,10335,12856
21195,8743,12452
21423,8747,12676
22849,10101,12748
22465,9701,12764
23156,10319,12837
23746,10827,12919
21591,9219,12372
24345,11413,12932
24963,11961,13002
23699,10826,12873
23316,10486,12830
23915,11055,12860
23429,10299,13130
24534,11495,13039
23017,10184,12833
23564,10653,12911
23505,10550,12955
22791,10088,12703
23741,10886,12855
23535,10719,12816
23351,10592,12759
23768,10813,12955
23830,10894,12936
23074,10189,12885
20968,8450,12518
24097,11092,13005
23298,10443,12855
22312,9620,12692
22478,9707,12771
23875,10810,13065
24775,11834,12941
22925,10149,12776
22543,9847,12696
24201,11363,12838
24332,11351,12981
23133,10303,12830
23331,10548,12783
22701,9909,12792
24926,11876,13050
24590,11602,12988
24481,11572,12909
22615,10043,12572
22515,10021,12494
21388,9009,12379
23920,10994,12926
24660,11854,12806
23269,10468,12801
23002,10335,12667
23690,10781,12909
24891,12006,12885
23255,10480,12775
24726,12031,12695
23120,10200,12920
22394,9848,12546
24721,11870,12851
22902,10160,12742
23916,11270,12646
23678,11027,12651
22375,9619,12756
24064,11143,12921
24249,11292,12957
24375,11488,12887
24447,11650,12797
24034,11223,12811
24711,11805,12906
22190,9649,12541
22029,9449,12580
22154,9593,12561
23657,10857,12800
22254,9711,12543
23834,11057,12777
23004,10259,12745
24693,11854,12839
24857,11937,12920
21992,9395,12597
23073,10526,12547
23293,10521,12772
24091,11273,12818
23399,10678,12721
23868,11226,12642
22783,10020,12763
24887,11966,12921
24428,11717,12711
23559,10870,12689
23172,10481,12691
22716,10114,12602
22584,10088,12496
21861,9604,12257
24122,11290,12832
23365,10685,12680
21420,9061,12359
20829,8475,12354
23793,11236,12557
24988,12328,12660
23419,10690,12729
24329,11520,12809
24066,11296,12770
21222,8844,12378
23675,11172,12503
22614,10148,12466
23016,10265,12751
24018,11194,12824
21607,9243,12364
23402,10632,12770
24158,11338,12820
23776,11077,12699
24582,11858,12724
23176,10601,12575
23658,11002,12656
24605,11965,12640
24276,11577,12699
23283,10674,12609
24368,11596,12772
23966,11277,12689
21607,9341,12266
24448,11762,12686
22804,10355,12449
24015,11370,12645
24656,11767,12889
24207,11445,12762
22989,10392,12597
23782,11120,12662
22429,9925,12504
24077,11549,12528
23019,10453,12566
24597,11900,12697
23070,10773,12297
25252,12450,12802
22119,9615,12504
24017,11255,12762
21701,9387,12314
23690,11065,12625
21943,9730,12213
22594,10189,12405
22891,10354,12537
24645,11941,12704
24056,11384,12672
23174,10589,12585
23961,11432,12529
23895,11249,12646
24198,11697,12501
24238,11631,12607
24715,12071,12644
23407,10724,12683
23059,10653,12406
24237,11506,12731
23656,11042,12614
22602,10006,12596
21890,9684,12206
24095,11488,12607
23238,11018,12220
22719,10279,12440
22743,10273,12470
24004,11182,12822
24791,12306,12485
24273,11679,12594
24651,11991,12660
23855,11388,12467
24306,11553,12753
24491,11832,12659
23522,11071,12451
22246,9837,12409
22700,10216,12484
24455,11852,12603
24656,12031,12625
24196,11539,12657
23693,11118,12575
23986,11373,12613
23245,10677,12568
24099,11766,12333
23282,10802,12480
21469,9104,12365
22933,10467,12466
23240,10951,12289
22684,10348,12336
23483,10980,12503
23299,10803,12496
23251,10949,12302
23515,11014,12501
23478,10897,12581
23740,11012,12728
24787,12441,12346
23306,10847,12459
21665,9497,12168
24225,11579,12646
24762,12178,12584
24918,12314,12604
24572,11946,12626
24313,11642,12671
24582,11916,12666
24834,12281,12553
23519,10981,12538
23474,10992,12482
22749,10596,12153
22584,10275,12309
23408,10874,12534
23642,11060,12582
23456,11000,12456
24255,11665,12590
22863,10475,12388
23987,11632,12355
24968,12377,12591
22523,10137,12386
23693,11167,12526
23787,11224,12563
23940,11468,12472
24133,11723,12410
22601,10289,12312
22983,10597,12386
23817,11416,12401
23491,11135,12356
23161,10947,12214
23325,10784,12541
22291,9998,12293
24603,12124,12479
22521,10607,11914
22992,10623,12369
23935,11408,12527
23507,11295,12212
21937,9618,12319
25071,12577,12494
24499,11922,12577
23543,11034,12509
23803,11602,12201
23388,11073,12315
24031,11598,12433
23415,11020,12395
23115,10767,12348
23960,11511,12449
20296,8915,11381
24187,12034,12153
23547,11097,12450
23798,11210,12588
25335,12742,12593
23716,11227,12489
23490,11102,12388
23836,11409,12427
23109,10689,12420
25154,12590,12564
23647,11207,12440
23071,10743,12328
23204,11255,11949
24062,11704,12358
23181,10717,12464
21500,9384,12116
22891,10565,12326
21744,9619,12125
22418,10334,12084
23469,11314,12155
22776,10564,12212
22339,10133,12206
23529,11001,12528
23132,11052,12080
23894,11392,12502
22764,10414,12350
23813,11446,12367
22164,9785,12379
24796,12256,12540
22959,10621,12338
23292,10971,12321
22891,10668,12223
24470,11981,12489
23374,11112,12262
24330,11907,12423
23408,11273,12135
24937,12617,12320
22034,9827,12207
23393,11131,12262
23320,11014,12306
23989,11561,12428
22890,10580,12310
24057,11581,12476
24036,11643,12393
23488,11368,12120
24071,11584,12487
23545,11180,12365
23537,11113,12424
23704,11354,12350
24844,12456,12388
24605,12206,12399
23471,11126,12345
25225,12728,12497
23208,10938,12270
22675,10346,12329
23837,11493,12344
22634,10506,12128
24410,12065,12345
22767,10428,12339
24058,11626,12432
24334,11935,12399
22954,10687,12267
23915,11794,12121
23526,11207,12319
23001,10714,12287
24799,12438,12361
24260,11820,12440
24690,12244,12446
24182,11819,12363
24107,11691,12416
23526,11090,12436
23887,11413,12474
23155,10844,12311
23898,11490,12408
22877,10667,12210
23238,11105,12133
24184,12096,12088
23446,11034,12412
