"total_rewards","action_rewards","opinion_rewards","mean_loss1","mean_loss2"
120231,67541,52690,-0.0990955285788831,2.19539199891416
120300,67552,52748,-0.0981269675412808,2.17352504891936
120367,67557,52810,-0.0981598427979572,2.15530839296566
120472,67578,52894,-0.0956642176998271,2.14396031346511
120506,67578,52928,-0.0979308710467938,2.1241991601207
120557,67581,52976,-0.0990429657762764,2.10276475469158
120678,67595,53083,-0.0970983099409337,2.09669537581503
120713,67605,53108,-0.0963271147566213,2.08325378658589
120839,67609,53230,-0.0955582445429172,2.08089414487847
120936,67619,53317,-0.0949043146858457,2.06719538253647
120961,67625,53336,-0.0941833994428056,2.05234920463779
121018,67629,53389,-0.0941571996385888,2.0363275590776
121018,67635,53383,-0.0937326027636035,2.02968557872386
121088,67637,53451,-0.093595611564524,2.02769050427966
121171,67648,53523,-0.0916873969293771,2.01851151555099
121238,67658,53580,-0.0908370466005925,2.01411460618573
121312,67668,53644,-0.0889102086172153,2.00583366909149
121294,67670,53624,-0.0872732642086868,2.00118390133774
121308,67666,53642,-0.0885088994531543,1.99440058659212
121329,67670,53659,-0.0882091930031575,1.98036302782341
121413,67672,53741,-0.0884971047403682,1.97671518351205
121380,67674,53706,-0.0882382171084332,1.95528780789093
121408,67674,53734,-0.0880063048176287,1.93550261092288
121439,67686,53753,-0.085750859266872,1.91345389045098
121427,67686,53741,-0.086680870955884,1.91006963755935
121379,67696,53683,-0.0844935780338181,1.885500406821
121435,67700,53735,-0.0838650911681312,1.88511721707711
121431,67698,53733,-0.0834781829771766,1.86662956729362
121385,67704,53681,-0.083950483696985,1.85252264439001
121442,67710,53732,-0.0833499358689137,1.85432076327164
121495,67712,53783,-0.0836456322074148,1.84427151004784
121521,67718,53803,-0.0823493317606997,1.84185769314116
121519,67712,53807,-0.0832656690969915,1.83396462203765
121589,67710,53879,-0.0843595418212565,1.82760382455176
121544,67706,53838,-0.0860323393311277,1.81145232555202
121503,67708,53795,-0.0862099807979327,1.79371058969674
121591,67708,53883,-0.0856580918780475,1.7890914669853
121593,67710,53883,-0.0857061595708894,1.78024250180884
121638,67704,53934,-0.0863061845995782,1.77489420184866
121652,67708,53944,-0.0852441797982134,1.76355703953807
121644,67715,53929,-0.0844944059018003,1.7559363823638
121653,67713,53940,-0.0839456528818118,1.74490937528449
121674,67713,53961,-0.0835133644842162,1.74357581987808
121635,67715,53920,-0.0842552031957232,1.74379237182227
121580,67715,53865,-0.0843001776808788,1.72111611730334
121590,67715,53875,-0.0851754958842569,1.71971209122884
121589,67715,53874,-0.086272458788616,1.70939742421985
121660,67701,53959,-0.0885829598380951,1.70985672636042
121638,67705,53933,-0.0885867372116164,1.69433262379501
121637,67699,53938,-0.0894357062818678,1.67736423354257
121726,67703,54023,-0.0889060840717734,1.67745969638398
121690,67703,53987,-0.0891523174327052,1.66927464983257
121725,67703,54022,-0.0896500377085018,1.66071725784462
121700,67715,53985,-0.0877518452463185,1.64633651632731
121698,67713,53985,-0.0881962997067603,1.63884023457596
121759,67711,54048,-0.0888264409974495,1.63495751140555
121761,67714,54047,-0.0892319428256252,1.63393013846045
121808,67726,54082,-0.0869236542011508,1.63085437888195
121807,67728,54079,-0.0865808620622292,1.62157393757423
121754,67724,54030,-0.0867524866771749,1.60234757842581
121740,67726,54014,-0.0867974449838088,1.58916504493999
121705,67712,53993,-0.0886948091200214,1.57915154482577
121766,67710,54056,-0.0892858126166671,1.57762818243778
121837,67710,54127,-0.0896570959740447,1.57629308404655
121821,67703,54118,-0.0910425786265147,1.56996623797512
121775,67699,54076,-0.0922571852120448,1.55836827865463
121781,67690,54091,-0.0929637093928994,1.54963743801398
121772,67698,54074,-0.0919858363403364,1.54659599418413
121782,67708,54074,-0.0906419712758841,1.54228410863487
121925,67717,54208,-0.0894827668500098,1.54674788804471
121947,67719,54228,-0.0892140496338057,1.54407802892172
121943,67723,54220,-0.089188907575656,1.53637952467173
121944,67719,54225,-0.0903618376313137,1.53106276363304
